series_id,time,value
WILLLRGCAP,2010-12-07,32280.92
WILLLRGCAP,2010-12-08,32389.43
WILLLRGCAP,2010-12-09,32521.52
WILLLRGCAP,2010-12-10,32720.20
WILLLRGCAP,2010-12-13,32722.31
WILLLRGCAP,2010-12-14,32749.81
WILLLRGCAP,2010-12-15,32580.98
WILLLRGCAP,2010-12-16,32789.38
WILLLRGCAP,2010-12-17,32824.99
WILLLRGCAP,2010-12-20,32913.98
WILLLRGCAP,2010-12-21,33122.95
WILLLRGCAP,2010-12-22,33238.48
WILLLRGCAP,2010-12-23,33185.64
WILLLRGCAP,2010-12-27,33210.36
WILLLRGCAP,2010-12-28,33234.28
WILLLRGCAP,2010-12-29,33285.22
WILLLRGCAP,2010-12-30,33241.52
WILLLRGCAP,2010-12-31,33230.84
WILLLRGCAP,2011-01-03,33605.73
WILLLRGCAP,2011-01-04,33551.10
WILLLRGCAP,2011-01-05,33726.44
WILLLRGCAP,2011-01-06,33667.18
WILLLRGCAP,2011-01-07,33610.33
WILLLRGCAP,2011-01-10,33574.23
WILLLRGCAP,2011-01-11,33703.82
WILLLRGCAP,2011-01-12,34004.30
WILLLRGCAP,2011-01-13,33946.75
WILLLRGCAP,2011-01-14,34192.55
WILLLRGCAP,2011-01-18,34250.20
WILLLRGCAP,2011-01-19,33885.07
WILLLRGCAP,2011-01-20,33826.35
WILLLRGCAP,2011-01-21,33893.65
WILLLRGCAP,2011-01-24,34098.06
WILLLRGCAP,2011-01-25,34111.64
WILLLRGCAP,2011-01-26,34271.44
WILLLRGCAP,2011-01-27,34354.23
WILLLRGCAP,2011-01-28,33745.87
WILLLRGCAP,2011-01-31,34004.07
WILLLRGCAP,2011-02-01,34566.53
WILLLRGCAP,2011-02-02,34473.61
WILLLRGCAP,2011-02-03,34558.13
WILLLRGCAP,2011-02-04,34647.69
WILLLRGCAP,2011-02-07,34873.61
WILLLRGCAP,2011-02-08,35026.85
WILLLRGCAP,2011-02-09,34929.02
WILLLRGCAP,2011-02-10,34960.68
WILLLRGCAP,2011-02-11,35163.47
WILLLRGCAP,2011-02-14,35270.76
WILLLRGCAP,2011-02-15,35151.35
WILLLRGCAP,2011-02-16,35375.55
WILLLRGCAP,2011-02-17,35486.45
WILLLRGCAP,2011-02-18,35540.03
WILLLRGCAP,2011-02-22,34807.49
WILLLRGCAP,2011-02-23,34589.98
WILLLRGCAP,2011-02-24,34561.31
WILLLRGCAP,2011-02-25,34954.57
WILLLRGCAP,2011-02-28,35144.14
WILLLRGCAP,2011-03-01,34588.64
WILLLRGCAP,2011-03-02,34655.36
WILLLRGCAP,2011-03-03,35250.61
WILLLRGCAP,2011-03-04,34990.09
WILLLRGCAP,2011-03-07,34692.23
WILLLRGCAP,2011-03-08,35007.46
WILLLRGCAP,2011-03-09,34961.14
WILLLRGCAP,2011-03-10,34303.95
WILLLRGCAP,2011-03-11,34552.11
WILLLRGCAP,2011-03-14,34349.18
WILLLRGCAP,2011-03-15,33973.17
WILLLRGCAP,2011-03-16,33333.61
WILLLRGCAP,2011-03-17,33763.83
WILLLRGCAP,2011-03-18,33908.37
WILLLRGCAP,2011-03-21,34419.56
WILLLRGCAP,2011-03-22,34298.51
WILLLRGCAP,2011-03-23,34392.62
WILLLRGCAP,2011-03-24,34715.47
WILLLRGCAP,2011-03-25,34834.73
WILLLRGCAP,2011-03-28,34732.39
WILLLRGCAP,2011-03-29,34990.19
WILLLRGCAP,2011-03-30,35246.02
WILLLRGCAP,2011-03-31,35194.21
WILLLRGCAP,2011-04-01,35373.54
WILLLRGCAP,2011-04-04,35392.12
WILLLRGCAP,2011-04-05,35394.76
WILLLRGCAP,2011-04-06,35475.57
WILLLRGCAP,2011-04-07,35411.84
WILLLRGCAP,2011-04-08,35265.98
WILLLRGCAP,2011-04-11,35152.30
WILLLRGCAP,2011-04-12,34869.27
WILLLRGCAP,2011-04-13,34891.10
WILLLRGCAP,2011-04-14,34893.79
WILLLRGCAP,2011-04-15,35040.09
WILLLRGCAP,2011-04-18,34646.28
WILLLRGCAP,2011-04-19,34844.90
WILLLRGCAP,2011-04-20,35326.03
WILLLRGCAP,2011-04-21,35515.22
WILLLRGCAP,2011-04-25,35465.33
WILLLRGCAP,2011-04-26,35784.07
WILLLRGCAP,2011-04-27,36015.84
WILLLRGCAP,2011-04-28,36141.16
WILLLRGCAP,2011-04-29,36229.42
WILLLRGCAP,2011-05-02,36156.30
WILLLRGCAP,2011-05-03,36016.11
WILLLRGCAP,2011-05-04,35777.57
WILLLRGCAP,2011-05-05,35465.95
WILLLRGCAP,2011-05-06,35604.46
WILLLRGCAP,2011-05-09,35788.57
WILLLRGCAP,2011-05-10,36076.46
WILLLRGCAP,2011-05-11,35693.61
WILLLRGCAP,2011-05-12,35866.34
WILLLRGCAP,2011-05-13,35571.81
WILLLRGCAP,2011-05-16,35346.16
WILLLRGCAP,2011-05-17,35330.13
WILLLRGCAP,2011-05-18,35660.78
WILLLRGCAP,2011-05-19,35737.09
WILLLRGCAP,2011-05-20,35469.13
WILLLRGCAP,2011-05-23,35041.10
WILLLRGCAP,2011-05-24,35013.28
WILLLRGCAP,2011-05-25,35141.28
WILLLRGCAP,2011-05-26,35303.53
WILLLRGCAP,2011-05-27,35463.31
WILLLRGCAP,2011-05-31,35833.90
WILLLRGCAP,2011-06-01,35026.96
WILLLRGCAP,2011-06-02,34987.80
WILLLRGCAP,2011-06-03,34648.37
WILLLRGCAP,2011-06-06,34259.82
WILLLRGCAP,2011-06-07,34236.21
WILLLRGCAP,2011-06-08,34090.55
WILLLRGCAP,2011-06-09,34333.87
WILLLRGCAP,2011-06-10,33853.10
WILLLRGCAP,2011-06-13,33877.03
