Date, Open, High, Low, Close
5/18/2018,1137.75,1137.75,1137.75,1137.75
5/17/2018,1144.07,1144.07,1144.07,1144.07
5/16/2018,1155.09,1155.09,1155.09,1155.09
5/15/2018,1150.27,1150.27,1150.27,1150.27
5/14/2018,1168.9,1168.9,1168.9,1168.9
5/11/2018,1164.49,1164.49,1164.49,1164.49
5/10/2018,1156.55,1156.55,1156.55,1156.55
5/9/2018,1143.76,1143.76,1143.76,1143.76
5/8/2018,1142.66,1142.66,1142.66,1142.66
5/7/2018,1139.55,1139.55,1139.55,1139.55
5/4/2018,1136.17,1136.17,1136.17,1136.17
5/3/2018,1137.85,1137.85,1137.85,1137.85
5/2/2018,1151.44,1151.44,1151.44,1151.44
5/1/2018,1162.48,1162.48,1162.48,1162.48
4/30/2018,1164.43,1164.43,1164.43,1164.43
4/27/2018,1156.3,1156.3,1156.3,1156.3
4/26/2018,1144.34,1144.34,1144.34,1144.34
4/25/2018,1140.27,1140.27,1140.27,1140.27
4/24/2018,1154.21,1154.21,1154.21,1154.21
4/23/2018,1158.26,1158.26,1158.26,1158.26
4/20/2018,1168.24,1168.24,1168.24,1168.24
4/19/2018,1184.13,1184.13,1184.13,1184.13
4/18/2018,1176.14,1176.14,1176.14,1176.14
4/17/2018,1164.36,1164.36,1164.36,1164.36
4/16/2018,1163.25,1163.25,1163.25,1163.25
4/13/2018,1170.09,1170.09,1170.09,1170.09
4/12/2018,1176.88,1176.88,1176.88,1176.88
4/11/2018,1175.53,1175.53,1175.53,1175.53
4/10/2018,1175.32,1175.32,1175.32,1175.32
4/9/2018,1163.07,1163.07,1163.07,1163.07
4/6/2018,1161.97,1161.97,1161.97,1161.97
4/5/2018,1166.48,1166.48,1166.48,1166.48
4/4/2018,1155.64,1155.64,1155.64,1155.64
4/3/2018,1170.15,1170.15,1170.15,1170.15
4/2/2018,1169.43,1169.43,1169.43,1169.43
3/30/2018,1170.87,1170.87,1170.87,1170.87
3/29/2018,1169.27,1169.27,1169.27,1169.27
3/28/2018,1162.67,1162.67,1162.67,1162.67
3/27/2018,1185.18,1185.18,1185.18,1185.18
3/26/2018,1182.28,1182.28,1182.28,1182.28
3/23/2018,1172.1,1172.1,1172.1,1172.1
3/22/2018,1196.73,1196.73,1196.73,1196.73
3/21/2018,1209.62,1209.62,1209.62,1209.62
3/20/2018,1209.89,1209.89,1209.89,1209.89
3/19/2018,1203.59,1203.59,1203.59,1203.59
3/16/2018,1213.14,1213.14,1213.14,1213.14
3/15/2018,1216.24,1216.24,1216.24,1216.24
3/14/2018,1218.7,1218.7,1218.7,1218.7
3/13/2018,1223.83,1223.83,1223.83,1223.83
3/12/2018,1222.2,1222.2,1222.2,1222.2
3/9/2018,1207.23,1207.23,1207.23,1207.23
3/8/2018,1195.24,1195.24,1195.24,1195.24
3/7/2018,1189.2,1189.2,1189.2,1189.2
3/6/2018,1193.93,1193.93,1193.93,1193.93
3/5/2018,1176.12,1176.12,1176.12,1176.12
3/2/2018,1182.06,1182.06,1182.06,1182.06
3/1/2018,1192.25,1192.25,1192.25,1192.25
2/28/2018,1195.19,1195.19,1195.19,1195.19
2/27/2018,1212.33,1212.33,1212.33,1212.33
2/26/2018,1221.08,1221.08,1221.08,1221.08
2/23/2018,1216.43,1216.43,1216.43,1216.43
2/22/2018,1200.9,1200.9,1200.9,1200.9
2/21/2018,1209.67,1209.67,1209.67,1209.67
2/20/2018,1194.53,1194.53,1194.53,1194.53
2/19/2018,1201.04,1201.04,1201.04,1201.04
2/16/2018,1199.73,1199.73,1199.73,1199.73
2/15/2018,1202.62,1202.62,1202.62,1202.62
2/14/2018,1185.33,1185.33,1185.33,1185.33
2/13/2018,1164.49,1164.49,1164.49,1164.49
2/12/2018,1153.37,1153.37,1153.37,1153.37
2/9/2018,1142.85,1142.85,1142.85,1142.85
2/8/2018,1163.09,1163.09,1163.09,1163.09
2/7/2018,1173.38,1173.38,1173.38,1173.38
2/6/2018,1176.18,1176.18,1176.18,1176.18
2/5/2018,1209.34,1209.34,1209.34,1209.34
2/2/2018,1230.83,1230.83,1230.83,1230.83
